"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017","ACCT_IS0048","ACCT_IS0049","ACCT_DL0148","ACCT_DL0149"
47,12/31/2025 0:00:00,30,Subm,25608000,0,31958149,0,0,0,0,0,0,0,0,382249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,0,525,375,0,900,2,0,600,0,0,0,0,0,0,0,0,104777,0,0,0,0,0,0,2699,0,2047,0,0,2047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,63932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383189,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2025 0:00:00,31,Subm,20482000,0,25873659,7399000,0,155000,0,0,0,0,0,7362564,0,164836,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18863,0,0,51542,16344,39429,0,0,55773,9,0,67811,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49631,0,0,0,49631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152649,0,0,92566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227789,0,0,0,0,0,0,0,0,0,6,40122
51,12/31/2025 0:00:00,32,Subm,0,0,664569285,869213654,7957902,8354064,1615000,938163,0,0,8877654,351524069,668864300,10284346,2700087,439722,51799,81937,0,0,30596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5336683,0,0,511236,53135,0,0,0,3582154,0,132752,2366979,1209107,503592,27514,0,1740213,404,4297025,1367393,0,1379131,467772,192265,1548151,105251,2313439,55,70577638,15899436,6341636,4087842,3161614,29490528,171,3209384,1293086,1705412,975335,482275,4456108,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118409,0,0,0,0,0,0,0,0,0,0,0,0,0,325042,10610,2027300,0,2136184,12,1578,138691,0,79300,0,217991,2,0,0,0,0,0,0,0,28485690,492489,0,28350591,2117210,98274,0,0,0,0,20000000,-48470,0,0,0,0,92703021,542808,0,0,0,0,39630,760980823,0,0,0,0,1159,16843460,0,267552856,8783001,792215,657737516,33158369,620622362,316593370,970374101,0,0,10,783232
53,12/31/2025 0:00:00,33,Subm,9454000,0,12361624,500000,0,80000,0,0,0,0,0,6914349,0,50095,13009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20962,0,0,28870,31096,65491,25259,0,121846,21,0,41987,0,0,0,0,0,0,0,0,0,0,0,0,50807,50807,1,394197,62856,0,0,0,62856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156901,0,0,258152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643057,0,0,0,0,0,0,0,0,0,0,0
60,12/31/2025 0:00:00,35,Subm,10606000,0,78149770,51129547,5916427,6095963,0,0,566650,0,0,21332945,42566942,370621,47577,180781,16255,0,1494,76954,4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,2079,0,0,0,0,0,0,26425,0,2241,167342,65924,158297,118593,0,342814,111,13400,938337,0,474871,22568,134129,69394,57949,284040,22,188527,178679,0,46781,0,225460,3,607369,170291,160685,0,299914,630890,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079656,0,0,0,0,0,0,76067,0,0,0,0,0,0,0,0,0,0,0,0,0,11378,0,0,0,0,0,24988,0,0,0,0,0,0,0,0,0,0,0,0,0,1417865,16486,0,4015713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,37819613,0,0,0,0,0,0,0,20831554,0,0,74377826,0,0,0,0,0,0,0,0
77,12/31/2025 0:00:00,41,Subm,0,0,55292778,28570475,619500,1394863,0,0,75266,26372,0,872763,3143430,198444,38745,0,2485,0,0,0,17520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12361,0,0,0,0,0,0,0,0,0,0,38752,33698,0,0,0,33698,9,80229,345664,0,44655,1071,26328,0,0,27399,3,0,0,0,0,0,0,0,0,0,50994,0,0,50994,1,0,0,0,0,0,0,0,0,0,0,695749,0,695749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460662,48694,0,208356,695749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,6475478,0,0,0,0,0,0,0,7879714,-10001,0,0,0,0,0,0,0,0,0,0
79,12/31/2025 0:00:00,43,Subm,2975000,0,72316172,107262684,351500,355950,0,0,0,0,0,33739151,51990135,1162074,391852,268198,86765,0,0,80704,12556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5995,0,19,581294,170620,53051,434,0,258851,91040,68737,4068,0,163845,14,49254,152784,0,79532,26670,0,0,3923,30593,5,1339343,0,0,56390,0,56390,1,223705,0,62582,0,0,62582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140148,0,0,0,498638,498638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84999,0,0,0,0,0,0,3642,0,0,0,0,0,0,373233,0,40360,704530,498638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9815,280778080,0,0,0,0,611,2861540,0,29733451,0,0,64558956,0,35212773,0,35212773,0,0,1,11907
82,12/31/2025 0:00:00,46,Subm,0,0,63275570,40528274,1901344,1901344,0,0,337977,0,0,7363425,8475439,96333,19088,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17420,0,39,36704,19971,0,9714,0,29685,2,12982,327634,0,0,0,0,0,0,0,0,380157,0,0,401538,880395,1281933,5,92113,93026,0,21508,72732,187266,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471072,4225,401538,1565572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144,42396556,0,0,0,0,0,0,0,12418064,0,0,0,0,0,0,0,0,0,0,0
90,12/31/2025 0:00:00,49,Subm,2944000,0,3940404,0,92533,152805,0,0,0,0,0,47185,0,28755,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,11190,0,6746,2633,0,9379,3,54174,16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70924,0,0,52865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317099,568,0,0,0,0,0,0,0,0,0,0
98,12/31/2025 0:00:00,54,Subm,0,0,1729306,5580000,0,15800,0,0,0,0,0,63995,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470766,0,0,0,0,0,0,0,0,0,0,0
