"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017","ACCT_IS0048","ACCT_IS0049","ACCT_DL0148","ACCT_DL0149"
10335,12/31/2025 0:00:00,5019,Subm,0,0,17022470,42911756,0,0,0,0,0,0,0,4093289,0,158070,39442,133649,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11087,1000,0,95071,22087,0,0,0,22087,5,58440,66733,0,71732,0,0,0,0,0,0,0,0,0,0,0,0,0,135166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,21876021,6,1820284,0,0,0,0,0,5025455,0,0,0,0,0,0,0,0,0,0,0
10351,12/31/2025 0:00:00,5032,Subm,10178000,0,20901015,11076219,0,355423,0,0,14000,0,0,4349123,3031524,30921,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14665,0,0,30299,1240,757,0,0,1997,2,9331,42133,0,483,447,0,0,0,447,1,41489,0,0,0,0,0,0,0,0,64957,0,0,64957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67816,1314,0,66180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,325889,0,0,0,0,0,0,0,4471484,0,0,0,0,0,0,0,0,0,0,0
10353,12/31/2025 0:00:00,5033,Subm,0,0,6740613,8867272,0,106382,0,0,0,0,0,182146,0,25962,9924,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,17644,20721,37871,4474,0,63066,16,82930,8860,0,20935,54785,49496,21784,8984,135049,6,222607,0,0,0,350150,350150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168666,0,0,472225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156329,0,0,0,0,0,0,0,0,0,0,0
10362,12/31/2025 0:00:00,5039,Subm,7891000,0,9767644,0,0,13846,0,0,85265,14628,0,404390,0,53118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,14444,6269,14687,0,0,20956,3,0,55506,0,7864,0,9702,0,0,9702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62337,1624,0,85442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,5528453,0,0,0,0,0,0,0,932865,0,0,0,0,0,0,0,0,0,0,0
10375,12/31/2025 0:00:00,5047,Subm,7693000,0,37077235,82931290,126400,817113,0,0,168745,0,1000,6503404,0,46467,9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10305,0,0,1008,2353,723,0,0,3076,4,0,70690,0,0,0,0,0,0,0,0,357993,73736,12576,0,0,86312,2,18438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157084,70433,0,284169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,31285384,0,0,0,0,0,0,0,7168578,0,26900,0,0,0,0,0,0,0,0,0
10381,12/31/2025 0:00:00,5051,Subm,0,0,6470133,11000000,0,109077,0,0,0,0,0,140590,0,9281,11784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182,0,0,6827,6696,10983,0,0,17679,9,0,9368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21246,0,0,30243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228247,0,0,0,0,0,0,0,0,0,0,0
10393,12/31/2025 0:00:00,5058,Subm,373000,0,1004886,0,0,32871,0,0,0,0,2429,16151,0,3512,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,10804,0,0,0,10804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10804,0,0,4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211795,0,0,0,0,0,0,0,0,0,0,0
10395,12/31/2025 0:00:00,5060,Subm,0,0,27336446,43487684,421900,421900,0,0,12207,0,0,1765986,0,61644,9713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6917,0,2221,55489,21370,519,11703,0,33592,3,152514,45321,0,74373,0,0,0,0,0,0,139458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352,61120459,0,0,0,0,0,0,0,5330269,-10857,0,0,0,0,0,0,0,0,0,0
10399,12/31/2025 0:00:00,5063,Subm,21056015,0,26286839,21269833,0,111732,0,0,8615,0,0,2999880,0,55540,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14676,0,12593,0,0,12593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97004,2500,0,0,0,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,23642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908835,0,0,0,0,0,0,0,0,0,0,0
10424,12/31/2025 0:00:00,5075,Subm,4736000,0,5963502,1004794,0,0,0,0,1066838,0,0,3976410,473064,190186,18131,205014,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6257,119,0,54830,14311,31629,4119,0,50059,13,0,716800,0,36797,0,0,0,30029,30029,1,515724,0,0,151368,0,151368,1,49654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473064,0,0,0,473064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210551,0,0,503148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,32380075,28,6335658,0,0,0,0,0,3700050,0,0,0,0,0,0,0,0,0,0,0
10433,12/31/2025 0:00:00,5083,Subm,10675065,0,11711584,34694442,0,109775,0,0,0,0,0,433258,0,254922,18221,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123527,45702,88243,19917,0,153862,31,0,48576,0,12914,0,66693,0,0,66693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94278,0,0,37945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835726,0,0,0,0,0,0,0,0,0,0,0
10442,12/31/2025 0:00:00,5088,Subm,0,0,5632429,13497495,0,0,0,0,0,0,0,1407766,0,45585,4524,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,0,0,10037,0,0,38496,0,38496,5,0,0,0,47823,0,0,0,0,0,0,416312,0,0,0,0,0,0,261989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,0,0,162584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,4350849,0,0,0,0,0,0,0,2181606,0,0,0,0,0,0,0,0,0,0,0
10461,12/31/2025 0:00:00,5099,Subm,11644000,0,13778501,0,0,14134,0,0,0,0,0,34458,0,13521,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677544,0,0,0,0,0,0,0,0,0,0,0
10465,12/31/2025 0:00:00,5101,Subm,25727000,0,92030470,420661206,2980784,2981483,1699467,0,0,0,0,35285268,0,790498,169641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932920,0,0,0,0,0,423218,53115,36554,0,0,104553,28594,65525,0,0,94119,15,0,0,0,0,0,0,0,0,0,0,1370206,0,319050,0,43313,362363,3,697507,217415,0,0,0,217415,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282563,137637,58478,509074,0,0,0,0,0,0,25000000,2699,0,0,0,0,0,0,0,0,0,0,146,2403499,0,0,0,0,0,0,0,16621094,0,0,0,3647658,71728077,39328894,114704629,0,0,3,71912
10481,12/31/2025 0:00:00,5112,Subm,6634000,0,8952023,0,0,21094,0,0,0,0,0,88316,0,0,0,0,11784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14708,4891,2257,2703,0,9851,4,0,14625,0,54109,53594,18029,24908,0,96531,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563686,0,0,0,0,0,0,0,0,0,0,0
10502,12/31/2025 0:00:00,5122,Subm,3448000,0,4534379,6941493,0,17820,0,0,0,0,0,94333,313866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,0,0,0,7188,3,0,0,0,0,0,0,0,0,0,0,62647,0,13648,0,0,13648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790340,0,0,0,0,0,0,0,0,0,0,0
10515,12/31/2025 0:00:00,5129,Subm,2995321,0,3790378,0,0,12061,0,0,0,0,0,28674,0,8511,2090,0,0,40326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63869,0,30212,0,5031,35243,10,0,0,0,47164,10263,0,0,0,10263,1,339088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426416,0,0,0,0,0,0,0,0,0,0,0
10520,12/31/2025 0:00:00,5132,Subm,0,0,3404645,0,0,33356,0,0,0,0,0,13608,0,12463,19725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91754,0,62596,36593,0,99189,15,34799,29955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178648,430138,0,0,0,0,0,0,0,0,0,0,0
10551,12/31/2025 0:00:00,5147,Subm,4354602,0,5181485,0,0,0,0,0,0,0,0,46109,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6181,0,0,5289,0,5289,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346838,0,0,0,0,0,0,0,0,0,0,0
10572,12/31/2025 0:00:00,5158,Subm,0,0,31509437,8414438,1014480,1759056,0,0,264303,0,0,14795637,11714809,225117,40966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294,1338,0,77401,18215,51617,26189,0,96021,27,67909,979809,0,0,28464,0,0,0,28464,1,405745,850234,509162,0,0,1359396,5,469742,27626,215540,0,99500,342666,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977889,0,0,2492066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585,48624979,62,12495681,78,14481939,0,0,0,8829584,0,0,0,0,0,0,0,0,0,0,0
10577,12/31/2025 0:00:00,5162,Subm,28481000,0,32675926,0,0,5,0,0,0,0,0,277229,0,37094,4203,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10278,0,0,9047,14527,6796,0,0,21323,11,124111,154268,0,0,18132,0,0,0,18132,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321316,0,0,49580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213247,0,0,0,0,0,0,0,0,0,0,0
10580,12/31/2025 0:00:00,5165,Subm,1200000,0,2699634,0,0,1256,0,0,8000,0,0,49334,0,10658,9633,48165,29596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,1185,1,4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426084,0,0,0,0,0,0,0,0,0,0,0
10585,12/31/2025 0:00:00,5168,Subm,62982000,0,80933053,0,0,521286,0,0,0,0,0,8868529,0,136291,165779,19037,6832,0,0,15602,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17717,0,0,105102,44084,70168,1436,0,115688,33,0,187628,0,9375,0,6628,0,0,6628,1,297173,0,152000,0,0,152000,1,304840,111284,100671,0,0,211955,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360713,34078,0,631783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913,14636038,0,0,0,0,0,0,0,8925435,0,0,0,0,0,0,0,0,0,0,0
10600,12/31/2025 0:00:00,5172,Subm,248000,200000,59109763,69068719,1069200,1550695,0,0,477303,0,0,22342804,36608811,2139433,338727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4434642,693333,12371,0,0,262521,197537,160877,8423,0,366837,80,0,758427,0,12123,0,0,0,0,0,0,927549,111396,326371,0,0,437767,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079731,122674,1541200,1178024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9312,144175778,0,0,0,0,2680,27516615,0,29557357,153504,0,24691577,1580517,91114378,8097458,100792353,0,0,0,0
10613,12/31/2025 0:00:00,5178,Subm,0,0,1917055,9974000,0,20461,0,0,0,0,0,710949,0,0,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25481,9387,0,10358,0,19745,3,0,3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12514,0,0,27675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537940,0,0,0,0,0,0,0,0,0,0,0
10614,12/31/2025 0:00:00,5179,Subm,250000,0,673236,4025000,0,15000,0,0,0,0,0,6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5246,16933,9936,18647,10402,55918,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67724,0,0,0,0,0,0,0,0,0,0,0
10636,12/31/2025 0:00:00,5189,Subm,0,0,124061,0,0,3361,0,0,0,0,0,1771,0,7493,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957,0,1630,1934,0,3564,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46004,0,0,0,0,0,0,0,0,0,0,0
10640,12/31/2025 0:00:00,5191,Subm,550000,0,4079692,3176700,0,0,0,0,0,0,0,165953,0,20112,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,25115,10841,3177,3470,0,17488,12,0,97249,0,22053,22628,0,0,0,22628,1,141633,98430,0,0,0,98430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235388,0,0,65795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988993,0,0,0,0,0,0,0,0,0,3,56904
