"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
7870,12/31/2025 0:00:00,3663,0,0,0,0,233024640,4665711,305620,271709121,0,233024640,4665711,305620,0,0,0,105,0,0,0,0,62025,0,0,0,0,0,0,0,0,11175799,0,3802831,0,0,0,0,0,0,0,0,0,0,0,1670392,0,0,0,0,0,0,0,0,6631239,206695,873324,2266604,343103,768671,1049458,0,0,0,0,44579,135114,58088143,0,0,11357931,0,0,0,0,0,8500609,0,0,-13485,0,1242,11667,297,24280,172,1493,39154,0,0,0,0,0,0,0,0,0,0,0,0,0,63,8,0,0,0,0,0,0,14978630,0,3528195,3570982,0,1251591,0,231140,0,0,0,0,0,0,0,0,2763448,37593807,0,0,0,0,0,0,0,0,0,0,30626120,1126,0,37723849,0,128100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,9082948,0,0,0,0,0,0,0,0,0,60058195,0,0,3727187,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7873,12/31/2025 0:00:00,3664,0,0,0,0,94800325,527428,0,113016281,0,94800325,527428,0,0,0,0,27,0,0,0,0,32025,0,0,0,0,0,0,0,0,3466989,0,1328064,0,0,0,0,0,0,0,0,0,0,0,333021,0,0,0,0,0,0,0,0,1498656,13017,159854,634244,79814,307735,376714,0,0,0,0,18983,16672,31271930,0,0,8881162,0,0,0,0,1659476,1919247,0,0,0,20148,97,4546,148,9809,0,76,14676,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,4795053,0,903146,127209,0,2335969,0,309600,753,0,0,0,0,0,0,0,813476,18169531,0,0,0,0,0,0,0,0,0,0,16211354,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,25389134,0,0,0,0,0,0,0,0,0,11000000,0,0,14150,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7877,12/31/2025 0:00:00,3667,0,0,0,0,784102,0,0,901623,0,784102,0,0,0,0,0,6,0,0,0,0,92025,0,0,0,0,0,0,0,0,68215,11002,10919,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8040,0,2094,0,0,0,0,0,0,0,6612,72974,0,0,0,0,0,0,0,0,184001,0,0,0,0,0,0,0,225,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68132,0,18,31433,0,19971,0,0,0,0,0,0,0,0,0,0,0,93576,0,0,0,0,0,0,0,0,0,0,117521,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7910,12/31/2025 0:00:00,3686,0,0,0,0,5018503,606935,642071,7225139,0,5018503,606935,642071,0,0,0,5,0,0,0,0,32025,0,0,0,0,0,0,0,0,338785,0,98012,0,0,0,0,0,0,0,0,0,0,0,41694,0,0,0,0,0,0,0,0,160060,2322,5,94131,1606,23685,43852,0,0,0,0,1320,1710,1708587,0,0,771230,0,0,0,0,382856,107347,0,0,0,0,99,304,0,921,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,436797,0,80003,102045,0,53840,0,33400,5364,0,0,0,0,0,0,0,30431,730722,0,0,0,0,0,0,0,0,0,0,918402,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,146490,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7916,12/31/2025 0:00:00,3691,0,0,0,0,913669599,26568713,8859125,1114599043,0,913669599,26568713,8859125,0,0,0,425,0,0,0,0,32025,0,0,0,0,0,0,0,0,52747229,0,7583865,0,0,0,0,0,0,0,0,0,0,0,9832378,0,0,0,0,0,0,0,0,20076550,168008,2623208,12893513,2564603,1502823,2988344,0,0,0,0,180266,544150,219401387,0,0,154149196,0,0,0,0,29234859,51752065,0,0,-44104,864674,5150,56072,1206,91301,0,3839,157568,0,0,0,0,0,0,0,0,0,0,0,0,0,225,21,0,0,0,0,0,0,60331094,0,24238200,16930295,0,18218265,0,525000,1575991,0,0,0,0,0,0,0,9985439,63993982,0,0,0,0,0,0,0,0,0,0,169152815,1516,0,0,0,205631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7985,211554914,0,0,0,0,0,0,0,0,0,269490618,0,0,22461574,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7925,12/31/2025 0:00:00,3696,0,0,0,0,130456873,1062649,511155,149868464,0,130456873,1062649,511155,0,0,0,19,0,0,0,0,122024,0,0,0,0,0,0,0,0,5034456,0,1372941,0,0,0,0,0,0,0,0,0,0,0,581395,0,0,0,0,0,0,0,0,2203538,23627,198039,1118564,144961,200643,865043,0,0,0,0,27436,20613,24478388,0,0,12182578,0,0,0,0,2666011,3292477,0,0,0,0,844,5641,161,9989,0,225,16860,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,6407397,0,1341939,1313594,0,1551229,0,170801,0,0,0,0,0,0,0,0,607959,11279390,0,0,0,0,0,0,0,0,0,0,17542627,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,5692744,0,0,0,0,0,0,0,0,0,7700000,0,0,570022,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7955,12/31/2025 0:00:00,3712,0,0,0,0,110897038,3754130,529728,127426073,0,110897038,3754130,529728,0,0,0,78,0,0,0,0,122024,0,0,0,0,0,0,0,0,4660570,0,1916986,0,0,0,0,0,0,0,0,0,0,0,1358221,0,0,0,0,0,0,0,0,2911952,24475,244965,775226,163278,752523,893941,0,0,0,0,21253,120311,8826837,0,0,8443799,0,0,0,0,1425460,3391713,0,0,0,0,995,7535,217,10439,13,442,19641,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,6577556,0,2118609,2047267,0,-272991,0,340072,0,0,0,0,0,0,0,0,2626294,8613767,0,0,0,0,0,0,0,0,0,0,10676520,838,0,0,0,1122755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,81018,0,0,0,0,0,0,0,0,0,5000000,0,0,912998,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7958,12/31/2025 0:00:00,3714,0,0,0,0,35350111,562960,21957,40585395,0,35350111,562960,21957,0,0,0,30,0,0,0,0,92025,0,0,0,0,0,0,0,0,676172,0,848728,0,0,0,0,0,0,0,0,0,0,0,79748,0,0,0,0,0,0,0,0,486455,60000,0,81121,14205,218566,121047,0,0,0,0,6912,37149,1518459,0,0,653783,0,0,0,0,780508,1600788,0,0,0,128537,205,1252,48,1830,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1524900,0,208285,397045,0,117734,0,123278,97269,0,0,0,0,0,0,0,294978,5750015,0,0,0,0,0,0,0,0,-250688,0,4558777,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662424,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7960,12/31/2025 0:00:00,3715,0,0,0,0,332084724,16356185,1606264,404042274,0,332084724,16356185,1606264,0,0,0,21,0,0,0,0,122025,0,0,0,0,0,0,0,0,11826930,0,6694186,0,0,0,0,0,0,0,0,0,0,0,2555411,0,0,0,0,0,0,0,0,5786563,137803,970467,3433567,413461,559940,2181234,0,0,0,0,75897,138139,60360115,0,0,66796021,0,0,0,0,0,10354171,0,0,0,97806,1341,12911,664,22511,316,1014,38757,0,0,0,0,0,0,0,0,0,0,0,0,0,88,6,0,0,0,0,0,0,18521116,0,2852969,2548326,0,4446613,0,491383,0,0,0,0,0,0,0,0,4843129,27294803,0,0,0,0,0,0,0,0,-442,0,52417012,1297,0,0,0,36330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728,71250972,0,0,0,0,0,0,0,0,0,35000000,0,0,511582,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7970,12/31/2025 0:00:00,3720,0,0,0,0,68778152,647311,33738,89317914,0,68778152,647311,33738,0,0,0,40,0,0,0,0,122024,0,0,0,0,0,0,0,0,3458207,0,1497602,0,0,0,0,0,0,0,0,0,0,0,399354,0,0,0,0,0,0,0,0,1814243,155069,215698,989861,59523,14284,384860,0,398,0,0,16259,137660,1073468,0,0,14286064,0,0,0,0,0,22830375,0,0,30000,0,115,244,0,12869,0,0,13228,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,4955809,0,-44788,431906,0,14890,0,0,0,0,0,0,0,0,0,0,1600585,4037876,0,0,0,0,0,0,0,0,0,0,20877372,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28295374,0,0,1848152,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7989,12/31/2025 0:00:00,3727,0,0,0,0,26755113,0,0,33519697,0,26755113,0,0,0,0,0,3,0,0,0,0,122024,0,0,0,0,0,0,0,0,901863,0,459594,0,0,0,0,0,0,0,0,0,0,0,77457,0,0,0,0,0,0,0,0,372441,4528,43440,208545,1955,5196,41142,0,0,0,0,5901,20584,1395087,0,0,6699898,0,0,0,0,0,3738267,0,0,0,0,106,298,0,3873,0,0,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1361457,0,77457,107151,0,546818,0,0,0,0,0,0,0,0,0,0,0,3669786,0,0,0,0,0,0,0,0,0,0,6683368,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,755289,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7992,12/31/2025 0:00:00,3729,0,0,0,0,40093167,193292,67899,48922452,0,41296167,1682292,67899,0,0,0,38,0,0,0,0,122024,0,0,0,0,0,0,0,0,2260389,0,243909,0,0,0,0,0,0,0,0,0,0,0,214207,0,0,0,0,0,0,0,0,1260860,1262,169140,512532,14200,173074,233767,0,0,0,0,10218,12957,4894505,0,0,2826458,0,0,0,0,0,4303761,0,0,0,0,192,1509,158,5258,0,150,7280,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2504298,0,431674,325971,0,-83781,0,367486,0,0,0,0,0,0,0,0,14682,4098468,0,0,0,0,0,0,0,0,0,0,6097095,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,12/31/2025 0:00:00,3731,0,0,0,0,113010810,6307112,298738,137965650,0,113010810,6307112,298738,0,0,0,11,0,0,0,0,122024,0,0,0,0,0,0,0,0,2109216,0,3210809,0,0,0,0,0,0,0,0,0,0,0,96502,0,0,0,0,0,0,0,0,1272321,31064,198277,691461,154423,241649,62577,0,0,0,0,24638,14604,1499353,0,0,1807998,0,0,0,0,925385,288454,0,0,0,64944,831,2806,351,4794,0,80,8862,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,5320025,0,360485,1907243,0,1082253,0,489000,601807,0,0,0,0,0,0,0,443383,7579516,0,0,0,0,0,0,0,0,-435589,0,18309808,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3146762,0,0,0,0,0,0,0,0,0,24000000,0,0,8826,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,12/31/2025 0:00:00,3732,0,0,0,0,3049744,20917,252366,3645166,0,3049744,20917,252366,0,0,0,4,0,0,0,0,122025,0,0,0,0,0,0,0,0,123329,0,96565,0,0,0,0,0,0,0,0,0,0,0,9726,0,0,0,0,0,0,0,0,0,0,0,23295,0,4463,108435,0,6034,0,0,528,63115,577395,0,0,193907,0,0,0,0,0,275702,0,0,0,0,20,80,0,574,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219894,0,14541,33606,0,-4504,0,22298,0,0,0,0,0,0,0,0,0,178066,0,0,0,0,0,0,0,0,0,0,368223,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,219101,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8006,12/31/2025 0:00:00,3736,0,0,0,0,5164320,116260,0,8436203,0,5164320,116260,0,0,0,0,3,0,0,0,0,92024,0,0,0,0,0,0,0,0,313996,0,191511,0,0,0,0,0,0,0,0,0,0,0,43310,0,0,0,0,0,0,0,0,197482,4891,0,40085,0,31813,89114,0,0,0,0,1713,18822,1320820,0,0,1355836,0,0,0,0,51799,720402,0,0,0,1819,28,180,17,694,21,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,505507,0,45129,86711,0,16700,0,30461,0,0,0,0,0,0,0,0,105298,646191,0,0,0,0,0,0,0,0,0,0,3155623,3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,215142,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,12/31/2025 0:00:00,3750,0,0,0,0,12775929,0,0,14556142,0,12775929,0,0,0,0,0,11,0,0,0,0,102025,0,0,0,0,0,0,0,0,487334,0,108754,0,0,0,0,0,0,0,0,0,0,0,29009,0,0,0,0,0,0,0,0,281448,4743,19439,42835,7685,4885,96758,0,0,0,0,2914,16517,1981836,0,0,826485,0,0,0,0,0,457631,0,0,0,0,2,585,19,1279,0,0,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,596088,0,44698,52080,0,-3518,0,48515,0,0,0,0,0,0,0,0,321468,4711124,0,0,0,0,0,0,0,0,0,0,1755547,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,38105,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8039,12/31/2025 0:00:00,3752,0,0,0,0,38820030,103704,181724,43329244,0,38820030,103704,181724,0,0,0,17,0,0,0,0,42025,0,0,0,0,0,0,0,0,1753796,0,381187,0,0,0,0,0,0,0,0,0,0,0,404970,0,0,0,0,0,0,0,0,782605,2944,122347,183015,103141,43416,442865,0,0,0,0,7476,9686,6656267,0,0,6013995,0,0,0,0,559119,706299,0,0,200,0,223,2016,69,2779,291,303,5681,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,2134983,0,405170,309081,0,505577,70000,0,0,0,0,0,0,0,0,0,500131,1426270,0,0,0,0,0,0,0,0,0,0,3778624,872,0,0,0,10391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102213,0,0,0,0,0,0,0,0,0,3500000,0,0,172984,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8052,12/31/2025 0:00:00,3761,0,0,0,0,8158865,420634,34438,10135399,0,8158865,420634,34438,0,0,0,5,0,0,0,0,32025,0,0,0,0,0,0,0,0,381428,0,194504,0,0,0,0,0,0,0,0,0,0,0,157526,0,0,0,0,0,0,0,0,304999,10892,36534,68374,319,41761,185547,0,0,0,0,1892,6879,2564028,0,0,995779,0,0,0,0,141700,398180,0,0,0,0,22,733,0,2210,491,0,3456,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,575932,0,174642,62295,0,-1575,54983,0,3365,0,0,0,0,0,0,0,149371,1123639,0,0,0,0,0,0,0,0,0,0,1412058,1393,0,0,0,9275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,493698,2154.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8059,12/31/2025 0:00:00,3765,0,0,0,0,56464508,1348645,273648,68307496,0,56464508,1348645,273648,0,0,0,14,0,0,0,0,32025,0,0,0,0,0,0,0,0,2550843,0,829442,0,0,0,0,0,0,0,0,0,0,0,809662,0,0,0,0,0,0,0,0,1496443,7873,119259,459174,70366,182899,371204,0,0,0,0,12417,392154,27306321,0,0,12176481,0,0,0,0,593025,1045846,0,0,0,1738,235,2794,196,6716,0,0,9941,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,3380285,0,904371,238021,0,745676,0,357419,0,0,0,0,0,0,0,0,1021432,11992984,0,0,0,0,0,0,0,0,0,0,9844834,1441,0,0,0,17817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,26810978,0,0,0,0,0,0,0,0,0,4000000,0,0,1102749,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,12/31/2025 0:00:00,3771,0,0,0,0,19900885,0,0,23897286,0,19900885,0,0,0,0,0,24,0,0,0,0,122024,0,0,0,0,0,0,0,0,789824,0,620672,0,0,0,0,0,0,0,0,0,0,0,104532,0,0,0,0,0,0,0,0,415553,9348,36071,310973,11931,26947,54802,0,0,0,0,3434,6686,2021113,0,0,2240571,0,0,0,0,0,1959998,0,0,7994,0,37,1061,0,4194,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1410496,0,381039,35360,0,840156,29419,0,2584,0,0,0,0,0,0,0,6327,1585399,0,0,0,0,0,0,0,0,0,0,3962743,1658,0,0,0,55821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,175162,2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8074,12/31/2025 0:00:00,3774,0,0,0,0,10849342,0,0,12953230,0,10849342,0,0,0,0,0,0,0,0,0,0,92025,0,0,0,0,0,0,0,0,164365,0,289595,0,0,0,0,0,0,0,0,0,0,0,17056,0,0,0,0,0,0,0,0,189558,0,0,60944,0,8576,92488,0,0,0,0,2743,6318,1292195,0,0,884146,0,0,0,0,0,233133,0,0,0,0,0,283,0,1321,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,453960,0,20008,36351,0,66972,0,4997,0,0,0,0,0,0,0,0,112849,863241,0,0,0,0,0,0,0,0,0,0,2087437,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
