"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
79,12/31/2025 0:00:00,43,0,0,0,0,0,0,35286132,0,0,0,0,0,0,0,35747311,0,0,0,0,0,0,0,0,0,6658822,0,0,0,0,0,0,0,3652842,93112907,0,0,0,0,18426622,304,0,21,122,0,0,76,0,30,0,123,0,123,38,0,14,0,181,304,1058,1018,2,0,0,0,0,0,1734
82,12/31/2025 0:00:00,46,0,0,0,0,0,0,55103724,0,0,0,0,0,0,0,10551430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8810985,0,0,1443912,76412094,0,0,0,0,502043,32,1,0,0,0,0,4,0,20,1,32,1,33,0,0,8,0,0,33,736,648,0,0,0,0,0,0,39
90,12/31/2025 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,12/31/2025 0:00:00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9
107,12/31/2025 0:00:00,57,0,0,0,0,0,0,45164,0,0,0,0,0,0,0,4178244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266486,0,0,0,5129286,0,0,0,0,639392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,98,0,0,0,0,0,0,26
108,12/31/2025 0:00:00,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18627,412998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,116
110,12/31/2025 0:00:00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,16,0,0,16,0,0,16,60,0,0,0,0,0,0,0,20
119,12/31/2025 0:00:00,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,11
120,12/31/2025 0:00:00,63,0,0,0,0,0,0,14719211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15683959,0,0,0,0,964748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,417,0,0,0,0,0,0,5
132,12/31/2025 0:00:00,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,12/31/2025 0:00:00,70,0,0,0,0,0,0,3402486,0,0,0,0,0,0,0,5042853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852602,0,0,539052,10196124,0,0,0,0,359131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,267,0,0,0,0,0,0,183
138,12/31/2025 0:00:00,72,0,0,0,0,0,0,346963,0,0,0,0,0,0,0,2176813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567058,0,0,0,0,43282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,34,0,0,0,0,0,0,78
146,12/31/2025 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
147,12/31/2025 0:00:00,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
150,12/31/2025 0:00:00,77,0,0,0,0,0,0,20515032,0,0,0,0,0,0,0,65074764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13909971,0,0,2494073,114376930,0,0,0,0,12383090,11,37,0,0,0,0,0,1,3,15,9,25,39,2,12,6,8,14,48,424,806,4,0,0,0,0,0,36
151,12/31/2025 0:00:00,78,0,0,0,0,0,0,46241473,0,0,0,0,0,0,0,165243896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26382276,0,0,0,239083440,0,0,0,0,1215795,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2430,1785,0,0,0,0,0,0,142
153,12/31/2025 0:00:00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,12/31/2025 0:00:00,83,0,0,0,0,0,0,135891710,0,0,0,0,0,0,0,148145478,0,0,0,0,0,0,0,0,0,83771845,0,0,0,0,7440450,0,0,9188783,310127830,0,0,0,0,9461409,1593,9,5,630,0,0,227,1,85,3,340,6,362,618,3,13,2,1236,1602,4325,5736,123,3,0,0,0,3,3610
162,12/31/2025 0:00:00,85,0,0,0,0,0,0,16566047,0,0,0,0,0,0,0,11012229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070740,0,0,0,31363525,0,0,0,0,1714509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,235,0,0,0,0,0,0,533
