"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
47,12/31/2025 0:00:00,30,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10243000,11608000,3757000,0,0,25608000,0,0,0,0,0,0,0,0,0,0,10243000,11608000,3757000,0,0,25608000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6962007,117308,0,0,117308,0,0,0,488795,6590520,0,6590520,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2025 0:00:00,31,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900000,5802124,0,0,0,0,0,0,5900000,5802124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499000,1491162,0,0,0,0,0,0,7399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680000,10779000,4023000,0,0,20482000,0,0,0,7399000,0,0,0,0,155000,155000,6229000,16129000,5523000,0,155000,28036000,0,0,0,0,0,0,0,0,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13599989,348513,0,0,348513,0,0,0,486647,13461855,0,13461855,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/31/2025 0:00:00,32,Subm,0,0,0,16663152,0,0,0,0,0,0,0,0,0,0,8065449,0,0,1948648140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953072,2935680,0,0,190840163,182352864,796462591,665857055,193793235,185288544,796462591,665857055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747842,707105,0,0,0,0,0,0,887506,874530,0,0,1635348,1581635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193793235,798097939,667438690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785280,1196449,0,7981729,7981729,0,0,0,0,0,0,7981729,0,667438690,193793235,0,7957902,0,0,396162,8354064,96475361,90591241,187272971,483576772,19651373,877567718,0,0,48627,48627,0,44867487,0,0,899667,0,0,0,0,0,0,0,16234306,14074447,6378574,0,0,0,0,0,856201261,67525970,0,0,67525970,0,0,0,196649771,727077460,0,727077460,0,664569285,643648171,4480560,16440554,0,869213654,301420095,558230196,1581634,0,7981729,0
53,12/31/2025 0:00:00,33,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,492360,0,0,0,0,0,0,500000,492360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9205000,249000,0,0,0,9454000,0,0,0,500000,0,0,0,0,80000,80000,9205000,749000,0,0,80000,10034000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,6074799,367986,0,0,367986,0,0,0,510572,5932213,0,5932213,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12/31/2025 0:00:00,35,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27427816,0,30185651,0,0,0,15500000,0,0,0,0,0,0,0,10515773,10471280,0,0,5000000,4892075,0,0,38420224,35766192,0,0,43420224,40658267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53935997,51129547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7124000,3482000,0,0,0,10606000,0,0,51129547,0,0,4810700,0,0,1285263,6095963,19980635,18176035,19396487,8993090,1285263,67831510,0,0,0,0,0,0,0,0,0,0,0,0,688631,663990,0,0,0,0,0,0,0,0,0,0,57349329,4598651,0,0,4598651,0,0,0,5572225,56375755,0,56375755,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12/31/2025 0:00:00,41,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11041555,0,11041555,0,0,0,0,0,0,0,0,0,0,0,1005354,992100,0,0,982896,981890,0,0,25128053,23463499,0,0,26110949,24445389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506272,257946,0,0,0,0,0,0,0,0,0,0,506272,257946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119955,2875040,0,0,0,0,0,0,0,0,0,30742530,28570475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28570474,0,1394863,0,0,0,0,1394863,3471957,10377313,12746089,3369978,0,29965337,0,0,0,0,0,0,0,0,6465573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18607397,1023314,0,0,1023314,0,0,0,1810083,17820628,0,17820628,0,0,0,0,0,0,0,0,0,0,0,0,0
79,12/31/2025 0:00:00,43,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260357115,0,0,0,0,0,0,0,0,0,0,0,0,0,7995345,7804062,0,0,35896324,34002019,0,0,52749971,48685384,0,0,88646295,82687403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17540980,16047758,0,0,735000,723461,0,0,0,0,0,114917620,107262684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2230000,745000,0,0,0,2975000,0,0,107262684,0,0,355950,0,0,0,355950,16265880,35698400,24739749,32657852,1231753,110593634,0,-262356,0,-262356,215000,13004597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93876179,3005939,0,0,3005939,0,0,0,7137440,89744678,0,89744678,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12/31/2025 0:00:00,46,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9371321,0,9371321,0,0,0,1245476,0,19825000,0,0,0,0,0,6981798,7008041,0,0,19300000,19289792,0,0,72474,74125,0,0,19372474,19363917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14156316,14196377,0,0,14156316,26354272,26371958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26371958,14156316,0,0,1901344,0,0,1901344,15113482,25414792,1901344,0,0,42429618,0,0,0,0,0,0,0,0,3614,0,114301,0,0,0,0,0,0,0,0,0,0,0,0,0,42978874,2263665,0,0,2263665,0,0,0,2440084,42802455,0,42802455,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12/31/2025 0:00:00,49,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249000,1695000,0,0,0,2944000,0,0,0,0,92533,0,0,0,60272,152805,1341533,1695000,0,0,60272,3096805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5029924,53212,0,0,53212,0,0,0,27481,5055655,0,5055655,0,0,0,0,0,0,0,0,0,0,0,0,0
98,12/31/2025 0:00:00,54,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580000,5580000,0,0,5580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580000,0,0,0,0,15800,15800,2000000,3580000,0,0,15800,5595800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2230930,19947,0,0,19947,0,0,0,99961,2150916,0,2150916,0,0,0,0,0,0,0,0,0,0,0,0,0
